Running experiment synthetic
Pretraining model on donor units
Iteration:0	Loss_mean:0.1538131684064865	Loss_std:0.0
Iteration:100	Loss_mean:0.2416730511561036	Loss_std:0.15789233699834698
Iteration:200	Loss_mean:0.2569792193174362	Loss_std:0.17392785591925808
Iteration:300	Loss_mean:0.1935631176829338	Loss_std:0.13841842153426348
Iteration:400	Loss_mean:0.1578539609350264	Loss_std:0.10998266157695287
Iteration:500	Loss_mean:0.08406348900869488	Loss_std:0.06174451318414549
Iteration:600	Loss_mean:0.05134124877396971	Loss_std:0.031900169573533796
Iteration:700	Loss_mean:0.031611099764704706	Loss_std:0.018682671925957545
Iteration:800	Loss_mean:0.0331830956088379	Loss_std:0.021229292650929026
Iteration:900	Loss_mean:0.022513702628202736	Loss_std:0.016894643231690078
Iteration:1000	Loss_mean:0.025159366170410067	Loss_std:0.02174199783055205
Iteration:1100	Loss_mean:0.021909444394987078	Loss_std:0.016043522288131818
Iteration:1200	Loss_mean:0.02300771201495081	Loss_std:0.01862734326931513
Iteration:1300	Loss_mean:0.020641163818072527	Loss_std:0.014466710238009377
Iteration:1400	Loss_mean:0.02161701665725559	Loss_std:0.01383900399756976
Iteration:1500	Loss_mean:0.02296408954774961	Loss_std:0.017222745064605003
Iteration:1600	Loss_mean:0.020964670155663043	Loss_std:0.017858096299090184
Iteration:1700	Loss_mean:0.021570064341649414	Loss_std:0.016916557185118995
Iteration:1800	Loss_mean:0.01882603724487126	Loss_std:0.02001798561723879
Iteration:1900	Loss_mean:0.021546689444221556	Loss_std:0.018340441365144806
Iteration:2000	Loss_mean:0.018405350317480043	Loss_std:0.01734461114062563
Iteration:2100	Loss_mean:0.023242991610895842	Loss_std:0.019301629421575695
Iteration:2200	Loss_mean:0.020987126934342085	Loss_std:0.018690324206625357
Iteration:2300	Loss_mean:0.02121781002730131	Loss_std:0.017119796222225644
Iteration:2400	Loss_mean:0.019418149271514265	Loss_std:0.015232468126754422
Iteration:2500	Loss_mean:0.020254022085573524	Loss_std:0.019636676641170376
Iteration:2600	Loss_mean:0.018765043965540826	Loss_std:0.01751940519457516
Iteration:2700	Loss_mean:0.020894464401062577	Loss_std:0.017681163665968065
Iteration:2800	Loss_mean:0.017923141149803996	Loss_std:0.01633571655088015
Iteration:2900	Loss_mean:0.022254216596484185	Loss_std:0.017434671764013622
Iteration:3000	Loss_mean:0.019883489207131788	Loss_std:0.016230032168730424
Iteration:3100	Loss_mean:0.01846681783674285	Loss_std:0.014162256506739909
Iteration:3200	Loss_mean:0.01991085485322401	Loss_std:0.01928281343618708
Iteration:3300	Loss_mean:0.023703512761276215	Loss_std:0.020193284680088703
Iteration:3400	Loss_mean:0.0193959021801129	Loss_std:0.015715743211679154
Iteration:3500	Loss_mean:0.021433609477244316	Loss_std:0.01806478713601138
Iteration:3600	Loss_mean:0.01899918920127675	Loss_std:0.016895867012635866
Iteration:3700	Loss_mean:0.020175575776956976	Loss_std:0.01753851118372211
Iteration:3800	Loss_mean:0.021214528037235142	Loss_std:0.014770382129818597
Iteration:3900	Loss_mean:0.018856369238346816	Loss_std:0.019789098328577132
Iteration:4000	Loss_mean:0.019495968078263103	Loss_std:0.017660386195189812
Iteration:4100	Loss_mean:0.019938451671041548	Loss_std:0.014738228811938406
Iteration:4200	Loss_mean:0.020902526148129253	Loss_std:0.02071887971942285
Iteration:4300	Loss_mean:0.02122153353644535	Loss_std:0.01744417276009607
Iteration:4400	Loss_mean:0.02103070852346718	Loss_std:0.01525703739202575
Iteration:4500	Loss_mean:0.020796450190246105	Loss_std:0.01727910242820751
Iteration:4600	Loss_mean:0.0178456967510283	Loss_std:0.012884301190097244
Iteration:4700	Loss_mean:0.02280763117945753	Loss_std:0.015825673730419536
Iteration:4800	Loss_mean:0.02088439140236005	Loss_std:0.016915104096863805
Iteration:4900	Loss_mean:0.0205907657998614	Loss_std:0.016129027451817667
Iteration:5000	Loss_mean:0.01804609932936728	Loss_std:0.016177547447118662
Iteration:5100	Loss_mean:0.020782225108705463	Loss_std:0.015605219897483012
Iteration:5200	Loss_mean:0.020594133434351534	Loss_std:0.014939024240810304
Iteration:5300	Loss_mean:0.018526039158459753	Loss_std:0.014473266888722058
Iteration:5400	Loss_mean:0.018576796809211375	Loss_std:0.01625051369527336
Iteration:5500	Loss_mean:0.020798385890666394	Loss_std:0.016450578505266756
Iteration:5600	Loss_mean:0.01597429208224639	Loss_std:0.019673268586441847
Iteration:5700	Loss_mean:0.018594025319907816	Loss_std:0.015260359275848281
Iteration:5800	Loss_mean:0.01874956798972562	Loss_std:0.016620732419638233
Iteration:5900	Loss_mean:0.020510141239501536	Loss_std:0.01656947307631651
Iteration:6000	Loss_mean:0.021234191032126547	Loss_std:0.01950004720708999
Iteration:6100	Loss_mean:0.019433529439847917	Loss_std:0.017293935988235542
Iteration:6200	Loss_mean:0.016572933855932205	Loss_std:0.012439123930117306
Iteration:6300	Loss_mean:0.020775434360839427	Loss_std:0.016474670149708544
Iteration:6400	Loss_mean:0.019558093554805964	Loss_std:0.014009969082122974
Iteration:6500	Loss_mean:0.01919718652497977	Loss_std:0.015287038476945538
Iteration:6600	Loss_mean:0.021052734167315065	Loss_std:0.018918724676357284
Iteration:6700	Loss_mean:0.020710199068998916	Loss_std:0.023033138547602243
Iteration:6800	Loss_mean:0.019787360806949438	Loss_std:0.016623817447293975
Iteration:6900	Loss_mean:0.01891582176787779	Loss_std:0.013139455732663551
Iteration:7000	Loss_mean:0.020545588239328935	Loss_std:0.01888713166745226
Iteration:7100	Loss_mean:0.018562306734966113	Loss_std:0.012287648872086434
Iteration:7200	Loss_mean:0.015377676635980607	Loss_std:0.013498591134288595
Iteration:7300	Loss_mean:0.014887168862915133	Loss_std:0.014824714695912873
Iteration:7400	Loss_mean:0.01768489240668714	Loss_std:0.019667584913798296
