Running experiment synthetic
Pretraining model on donor units
Iteration:0	Loss_mean:0.4480801224708557	Loss_std:0.0
Iteration:100	Loss_mean:0.6239917728863656	Loss_std:0.5303769783123524
Iteration:200	Loss_mean:0.4720400828844868	Loss_std:0.3836421178971439
Iteration:300	Loss_mean:0.3991071545425802	Loss_std:0.38893551861398373
Iteration:400	Loss_mean:0.30603584278491325	Loss_std:0.32481961382081964
Iteration:500	Loss_mean:0.16652939395979047	Loss_std:0.177594082395954
Iteration:600	Loss_mean:0.15244567973131778	Loss_std:0.16083048984595433
Iteration:700	Loss_mean:0.13755990641831886	Loss_std:0.14525149471764726
Iteration:800	Loss_mean:0.1312872762052575	Loss_std:0.1325805705654455
Iteration:900	Loss_mean:0.1297355964568851	Loss_std:0.1367269502053073
Iteration:1000	Loss_mean:0.11168955718749203	Loss_std:0.13377475382817808
Iteration:1100	Loss_mean:0.08630720384884626	Loss_std:0.08880376410281231
Iteration:1200	Loss_mean:0.06828575923806056	Loss_std:0.06725331320801813
Iteration:1300	Loss_mean:0.0764494082055171	Loss_std:0.07416510533137585
Iteration:1400	Loss_mean:0.060500397138530386	Loss_std:0.0693231057720372
Iteration:1500	Loss_mean:0.045571195473603436	Loss_std:0.04270666504219337
Iteration:1600	Loss_mean:0.04423389700241387	Loss_std:0.04176298856074923
Iteration:1700	Loss_mean:0.033299069421191235	Loss_std:0.03209672160209217
Iteration:1800	Loss_mean:0.02550706423338852	Loss_std:0.02824847074306406
Iteration:1900	Loss_mean:0.02464465215103701	Loss_std:0.025865938728639556
Iteration:2000	Loss_mean:0.02400204578123521	Loss_std:0.02257622894039656
Iteration:2100	Loss_mean:0.02372599975555204	Loss_std:0.02647304979984346
Iteration:2200	Loss_mean:0.025351458827863098	Loss_std:0.029082395334762208
Iteration:2300	Loss_mean:0.025835471346217675	Loss_std:0.027179146783988965
Iteration:2400	Loss_mean:0.023926640688478072	Loss_std:0.026497434661511138
Iteration:2500	Loss_mean:0.02050342945731245	Loss_std:0.016734020003889332
Iteration:2600	Loss_mean:0.017626839059448684	Loss_std:0.019097352558467846
Iteration:2700	Loss_mean:0.02478361432571546	Loss_std:0.026054390632982434
Iteration:2800	Loss_mean:0.020584013090701774	Loss_std:0.022429045869813955
Iteration:2900	Loss_mean:0.020912769939168355	Loss_std:0.02272027427770169
Iteration:3000	Loss_mean:0.0218288515250606	Loss_std:0.02333920504191047
Iteration:3100	Loss_mean:0.021424104911566245	Loss_std:0.02449769776985563
Iteration:3200	Loss_mean:0.01883817197784083	Loss_std:0.01686158094549909
Iteration:3300	Loss_mean:0.02138843129455381	Loss_std:0.022023629984154667
Iteration:3400	Loss_mean:0.021694558765157124	Loss_std:0.020720384778084976
Iteration:3500	Loss_mean:0.02279777937263134	Loss_std:0.024922964497110695
Iteration:3600	Loss_mean:0.01918579220480751	Loss_std:0.02052941242764681
Iteration:3700	Loss_mean:0.018791990630634244	Loss_std:0.019771792480203408
Iteration:3800	Loss_mean:0.01933283678765292	Loss_std:0.021908042583694453
Iteration:3900	Loss_mean:0.019512409460294294	Loss_std:0.02461320552130751
Iteration:4000	Loss_mean:0.014931325184952583	Loss_std:0.016347632533233437
Iteration:4100	Loss_mean:0.019474882617942058	Loss_std:0.018667904334403847
Iteration:4200	Loss_mean:0.01794874609215185	Loss_std:0.01894002049465042
Iteration:4300	Loss_mean:0.019129819661502553	Loss_std:0.021630267132342357
Iteration:4400	Loss_mean:0.02127138228781405	Loss_std:0.022907364564926976
Iteration:4500	Loss_mean:0.017951835704152472	Loss_std:0.0192200595524734
Iteration:4600	Loss_mean:0.019693565899506212	Loss_std:0.020131348284312147
Iteration:4700	Loss_mean:0.018230171046743637	Loss_std:0.02305148113749538
Iteration:4800	Loss_mean:0.024381090760725782	Loss_std:0.028507652702288007
Iteration:4900	Loss_mean:0.01821629887595009	Loss_std:0.025540129428032625
Iteration:5000	Loss_mean:0.02434630955947796	Loss_std:0.025904416851893902
Iteration:5100	Loss_mean:0.015712531320168636	Loss_std:0.01560882127808822
Iteration:5200	Loss_mean:0.019745405169014702	Loss_std:0.023810910491105383
Iteration:5300	Loss_mean:0.020790190999978222	Loss_std:0.02653433346689502
Iteration:5400	Loss_mean:0.015884518495295197	Loss_std:0.015688092588441935
Iteration:5500	Loss_mean:0.01537650473343092	Loss_std:0.01716373768569765
Iteration:5600	Loss_mean:0.01922776855972188	Loss_std:0.022468311217595873
Iteration:5700	Loss_mean:0.020157515704886463	Loss_std:0.023932638913851376
Iteration:5800	Loss_mean:0.01717628898564726	Loss_std:0.02092268419215053
Iteration:5900	Loss_mean:0.01858542739711993	Loss_std:0.018568153552533245
Iteration:6000	Loss_mean:0.017620028887758963	Loss_std:0.018903247251706567
Iteration:6100	Loss_mean:0.016571897721878486	Loss_std:0.02140184183325058
Iteration:6200	Loss_mean:0.01974458251192118	Loss_std:0.020748734508696458
Iteration:6300	Loss_mean:0.01852404234370624	Loss_std:0.018996240182836886
Iteration:6400	Loss_mean:0.01617293400078779	Loss_std:0.01841252478759044
Iteration:6500	Loss_mean:0.020117050100379855	Loss_std:0.02062777954891519
Iteration:6600	Loss_mean:0.016493005891534268	Loss_std:0.01729318673338931
Iteration:6700	Loss_mean:0.017989116193857627	Loss_std:0.020666510599040115
Iteration:6800	Loss_mean:0.016631175896618514	Loss_std:0.01612507934690245
Iteration:6900	Loss_mean:0.018723736254032702	Loss_std:0.020956402509573573
Iteration:7000	Loss_mean:0.01612700580415549	Loss_std:0.01817401199904862
Iteration:7100	Loss_mean:0.018057257013642813	Loss_std:0.01938008530638853
Iteration:7200	Loss_mean:0.019465882106710523	Loss_std:0.023728289234686936
Iteration:7300	Loss_mean:0.014886557594290934	Loss_std:0.01737663164815677
Iteration:7400	Loss_mean:0.014340332684660097	Loss_std:0.01628749947029508
Iteration:7500	Loss_mean:0.014959563001139032	Loss_std:0.01592578597079807
Iteration:7600	Loss_mean:0.014177326360004372	Loss_std:0.017386043586464443
Iteration:7700	Loss_mean:0.01758259671284577	Loss_std:0.019567096098048853
Iteration:7800	Loss_mean:0.01462809746183666	Loss_std:0.01636378791404642
Iteration:7900	Loss_mean:0.013631762572476874	Loss_std:0.015244302604371613
Iteration:8000	Loss_mean:0.013987272358808695	Loss_std:0.01622026031995785
Iteration:8100	Loss_mean:0.014491981606988702	Loss_std:0.014663213542127813
Iteration:8200	Loss_mean:0.014688254103557483	Loss_std:0.01507353514344689
